name,source,linkedin_tier,linkedin_tier_score,youtube_channel,yt_subscribers,yt_video_count_90d,yt_avg_views,yt_engagement_rate,yt_score,combined_score
Marie Haynes,LinkedIn+YouTube,S,10,Marie Haynes ,4030,10,387,3.645,5.07,7.54
Crystal Carter,LinkedIn only,S,10,—,22,0,0,0.0,0.0,7.5
Patrick Stox,LinkedIn only,S,10,—,35,1,186,0.538,3.65,7.5
Britney Muller,LinkedIn only,S,10,—,471,1,17,0.0,0.16,7.5
Kevin Indig,LinkedIn only,S,10,—,0,0,0,0.0,0.0,7.5
Koray Tuğberk GÜBÜR,LinkedIn+YouTube,S,10,Koray Tuğberk GÜBÜR,24100,1,923,3.792,4.07,7.04
Ryan Law,LinkedIn+YouTube,A,7,Ahrefs Podcast,8980,20,4073,0.25,4.91,5.96
Mark Williams-Cook,LinkedIn only,A,7,—,0,0,0,0.0,0.0,5.25
Mordy Oberstein,LinkedIn only,A,7,—,735,20,65,2.757,6.51,5.25
Aleyda Solís,LinkedIn+YouTube,S,10,Crawling Mondays by Aleyda,13400,0,0,0.0,0.23,5.12
Lily Ray,LinkedIn+YouTube,S,10,Lily Ray,3150,0,0,0.0,0.06,5.03
Ahrefs,YouTube only,—,0,Ahrefs,664000,0,6978,2.946,8.5,4.25
Neil Patel,YouTube only,—,0,Neil Patel,1570000,0,3689,3.497,8.5,4.25
Julia McCoy,YouTube only,—,0,Julia McCoy,285000,0,16537,4.106,8.5,4.25
Nathan Gotch,YouTube only,—,0,Nathan Gotch,126000,0,3371,3.428,7.21,3.6
Zubair Trabzada | AI Workshop,YouTube only,—,0,Zubair Trabzada | AI Workshop,126000,0,31973,2.535,7.21,3.6
Exposure Ninja,YouTube only,—,0,Exposure Ninja,107000,0,2156,1.454,6.87,3.44
Edward Sturm,YouTube only,—,0,Edward Sturm,57000,0,4383,3.382,6.0,3.0
Rankknar,YouTube only,—,0,Rankknar,46700,0,3301,4.192,5.82,2.91
Caleb Ulku,YouTube only,—,0,Caleb Ulku,38000,0,18307,2.68,5.67,2.83
Vasco's SEO Tips,YouTube only,—,0,Vasco's SEO Tips,25600,0,790,3.14,5.45,2.73
